name,name.abbrev,math
north dakota,nd,605
iowa,iowa,598
minnesota,minn,598
wisconsin,wis,595
south dakota,sd,588
illinois,ill,585
kansas,kan,576
missouri,mo,572
nebraska,neb,571
utah,utah,568
michigan,mich,565
oklahoma,okla,560
louisiana,la,558
arkansas,ark,556
alabama,ala,555
tennessee,tenn,553
wyoming,wyo,551
mississippi,miss,548
kentucky,ky,547
montana,mont,546
new mexico,nm,542
idaho,idaho,540
colorado,colo,540
ohio,ohio,538
washington,wash,526
oregon,ore,525
arizona,ariz,525
new hampshire,nh,518
nevada,nev,517
california,calif,514
west virginia,wva,512
massachusetts,mass,511
new jersey,nj,510
connecticut,conn,509
maryland,md,507
vermont,vt,506
maine,maine,503
new york,ny,502
virginia,va,499
rhode island,ri,499
texas,texas,499
florida,fla,498
indiana,ind,498
delaware,dela,497
pennsylvania,pa,495
north carolina,nc,493
georgia,ga,482
district of columbia,d.c.,478
south carolina,sc,475
